time, px, py, pz, qx, qy, qz, qw
0, -0.0145571, -0.00507984, 1.43829, -0.00555563, -0.000674759, 0.708252, 0.705938
0.0197773, -0.01492, -0.00570423, 1.43734, -0.00646354, 0.00142511, 0.708326, 0.705855
0.0401206, -0.0151873, -0.00566545, 1.43763, -0.00538171, -0.000148755, 0.7086, 0.70559
0.059993, -0.014954, -0.00638725, 1.43772, -0.00639883, 0.00042793, 0.708574, 0.705607
0.0800645, -0.0152031, -0.00652314, 1.43787, -0.0055311, 9.12705e-05, 0.708274, 0.705916
0.100076, -0.0156388, -0.00691964, 1.43754, -0.00580485, 0.000667909, 0.708565, 0.705622
0.119735, -0.0156713, -0.0070798, 1.43805, -0.00486922, -0.000542244, 0.708975, 0.705217
0.140024, -0.0157829, -0.00749053, 1.43815, -0.00447575, 0.000211397, 0.709056, 0.705138
0.16025, -0.0160662, -0.00785812, 1.43757, -0.00554443, 0.000649795, 0.708891, 0.705296
0.180087, -0.016274, -0.00813744, 1.43706, -0.00505345, 0.00170221, 0.70918, 0.705007
0.199456, -0.0159155, -0.00852281, 1.4371, -0.00588668, 0.00107627, 0.70918, 0.705002
0.219792, -0.0156765, -0.00878957, 1.43657, -0.00910355, -0.000271476, 0.708684, 0.705467
0.240052, -0.0158059, -0.00924661, 1.43496, -0.0136115, -0.000162083, 0.708455, 0.705625
0.260179, -0.0157018, -0.00954349, 1.43367, -0.0188896, -0.00143298, 0.70866, 0.705296
0.279938, -0.0155305, -0.00970052, 1.43263, -0.0229332, -0.00221708, 0.70868, 0.705153
0.30021, -0.0157904, -0.00993129, 1.431, -0.0276879, -0.00245853, 0.708348, 0.705316
0.31975, -0.0160609, -0.010093, 1.42932, -0.0331802, -0.00314827, 0.708302, 0.705122
0.339517, -0.0164777, -0.00990149, 1.42818, -0.0347495, -0.00265128, 0.708289, 0.705062
0.360156, -0.0169833, -0.00975283, 1.42701, -0.0379913, -0.00315055, 0.708149, 0.705033
0.380121, -0.0181089, -0.00947787, 1.42558, -0.0399745, -0.00224337, 0.707943, 0.705134
0.399465, -0.0191017, -0.00873647, 1.42471, -0.0427715, -0.0042727, 0.708386, 0.704515
0.419641, -0.0202751, -0.00808033, 1.42368, -0.0441713, -0.00408203, 0.708462, 0.704354
0.440164, -0.0216842, -0.00733324, 1.42236, -0.0454126, -0.00307188, 0.707747, 0.704998
0.460222, -0.0236791, -0.00590442, 1.42113, -0.0449687, -0.00279988, 0.707763, 0.705012
0.479619, -0.0255034, -0.00477813, 1.42014, -0.0456403, -0.00267535, 0.707999, 0.704732
0.500158, -0.0277113, -0.00321321, 1.41964, -0.0443995, -0.00264768, 0.708012, 0.704799
0.519577, -0.0301258, -0.00143158, 1.41895, -0.0441582, -0.00324319, 0.707749, 0.705075
0.539919, -0.0329099, 0.000581152, 1.41823, -0.0428031, -0.00332921, 0.707789, 0.705119
0.559979, -0.0357639, 0.00255047, 1.41772, -0.0411645, -0.00288778, 0.70794, 0.705066
0.579454, -0.038762, 0.00479238, 1.41727, -0.0400053, -0.00283166, 0.707885, 0.705188
0.599973, -0.0423402, 0.00743537, 1.41651, -0.0368775, -0.00194695, 0.707963, 0.705283
0.619617, -0.0458531, 0.00998554, 1.41546, -0.0358117, -0.00135733, 0.708179, 0.705123
0.640017, -0.0492703, 0.0126472, 1.41492, -0.0345394, -0.000984861, 0.708243, 0.705123
0.660233, -0.0530391, 0.0153924, 1.41392, -0.0338894, 0.000261442, 0.708256, 0.705142
0.679535, -0.0569991, 0.0186605, 1.41303, -0.0329866, -0.000314557, 0.70822, 0.705221
0.700185, -0.0609434, 0.0217605, 1.41217, -0.0313679, 0.000440925, 0.708296, 0.705219
0.719824, -0.0648945, 0.024973, 1.41144, -0.0303589, 0.000493336, 0.708311, 0.705247
0.740194, -0.0689712, 0.0283427, 1.41026, -0.0306384, 0.000743, 0.708077, 0.70547
0.760303, -0.0734517, 0.0320351, 1.40913, -0.0288049, 0.00151783, 0.707998, 0.705625
0.780201, -0.0774771, 0.0356195, 1.40853, -0.02873, 0.000253653, 0.70786, 0.705768
0.800314, -0.0818879, 0.0393253, 1.40792, -0.0271227, 0.000849934, 0.707561, 0.706131
0.819566, -0.0865589, 0.0433656, 1.40718, -0.0263577, -4.37981e-05, 0.707421, 0.706301
0.839951, -0.0914851, 0.0472509, 1.40609, -0.0253465, 0.000779515, 0.707821, 0.705937
