time, px, py, pz, qx, qy, qz, qw
1.11938, 0.477221, -0.560269, 1.6456, -0.00128555, -0.0378878, 0.690785, 0.722066
1.13976, 0.47694, -0.560388, 1.64656, 0.000135074, -0.0362775, 0.690816, 0.722119
1.16011, 0.476929, -0.560596, 1.64768, -0.0010565, -0.0370531, 0.690748, 0.722144
1.17941, 0.476504, -0.560615, 1.64858, 0.000782891, -0.0354584, 0.690612, 0.722356
1.19951, 0.476182, -0.560744, 1.64931, 0.00094568, -0.0341864, 0.690413, 0.722607
1.2194, 0.476064, -0.560919, 1.65008, 0.000679083, -0.0339276, 0.69025, 0.722774
1.24008, 0.475951, -0.561032, 1.65102, 0.0012946, -0.0338483, 0.69015, 0.722873
1.25975, 0.475887, -0.561165, 1.6518, 1.74855e-05, -0.0348703, 0.689942, 0.723024
1.27933, 0.475674, -0.561074, 1.65251, 0.00121896, -0.0351788, 0.689651, 0.723286
1.29939, 0.475522, -0.561177, 1.65324, 0.000767139, -0.0354989, 0.689574, 0.723344
1.31941, 0.47528, -0.561185, 1.65387, 0.00165856, -0.0348198, 0.689665, 0.723289
1.33967, 0.475202, -0.561147, 1.65439, 0.00190774, -0.0356089, 0.68945, 0.723455
1.36015, 0.475103, -0.561254, 1.6546, 0.000379599, -0.0363061, 0.689244, 0.723619
1.37971, 0.475002, -0.56123, 1.65494, 0.000963958, -0.0361392, 0.689237, 0.723633
1.40004, 0.474985, -0.561203, 1.65531, 0.00139718, -0.0369479, 0.689027, 0.723792
1.41958, 0.474651, -0.561072, 1.6553, 0.00235054, -0.0359385, 0.689001, 0.723865
1.44019, 0.474371, -0.561071, 1.65512, 0.00141708, -0.0354896, 0.689099, 0.723796
1.46022, 0.474298, -0.561176, 1.65496, 0.00124055, -0.0342554, 0.688951, 0.723997
1.4802, 0.474281, -0.561137, 1.65479, 0.000923065, -0.0338442, 0.688724, 0.724233
1.49987, 0.474156, -0.561069, 1.65439, -4.61243e-05, -0.034474, 0.688501, 0.724415
1.51946, 0.473955, -0.560891, 1.65419, 0.00155814, -0.0339093, 0.688367, 0.724568
1.53962, 0.47393, -0.560873, 1.65407, 0.00105368, -0.0344229, 0.688144, 0.724756
1.56017, 0.473695, -0.560767, 1.65363, 0.00179059, -0.0334593, 0.688015, 0.724923
1.5802, 0.473592, -0.560573, 1.65328, 0.00163256, -0.0336917, 0.688021, 0.724907
1.60013, 0.473665, -0.560592, 1.65283, 0.000382053, -0.0342761, 0.687909, 0.724987
1.61969, 0.473614, -0.560309, 1.65254, 0.00175111, -0.0344667, 0.687995, 0.724894
1.64015, 0.473604, -0.56019, 1.65202, 0.000496789, -0.0353136, 0.687965, 0.724884
1.66021, 0.473426, -0.559934, 1.65145, 0.00206724, -0.0345187, 0.687946, 0.724938
1.68012, 0.473534, -0.559711, 1.65108, 0.00164996, -0.0355807, 0.688068, 0.724771
1.70029, 0.47358, -0.559482, 1.6507, 0.00223042, -0.0351694, 0.68829, 0.724579
1.71972, 0.473707, -0.55942, 1.64989, 0.00121092, -0.0347249, 0.688223, 0.724667
1.74001, 0.47369, -0.559156, 1.64916, 0.00139124, -0.0341802, 0.688244, 0.724672
1.76019, 0.47386, -0.559019, 1.64861, 0.00117267, -0.0336161, 0.688372, 0.724577
1.78039, 0.473975, -0.558809, 1.6481, 0.00131155, -0.0331125, 0.688461, 0.724516
1.80047, 0.47409, -0.55837, 1.64762, 0.00154629, -0.0339197, 0.688382, 0.724553
