time, px, py, pz, qx, qy, qz, qw
0, 0.00751181, 0.0451389, 1.4039, 0.00951847, 0.0121678, -0.705984, 0.708059
0.0200033, 0.00672645, 0.0450756, 1.40354, 0.00919438, 0.013216, -0.703233, 0.710777
0.0399563, 0.00623041, 0.0447789, 1.40335, 0.0101329, 0.0125634, -0.701649, 0.712339
0.0598729, 0.00576109, 0.0444902, 1.40333, 0.0106799, 0.0122342, -0.698658, 0.715272
0.0798099, 0.00482064, 0.0445583, 1.40307, 0.00988882, 0.0146463, -0.694689, 0.719093
0.0997236, 0.00414519, 0.0443242, 1.40278, 0.0100369, 0.0145507, -0.691633, 0.722032
0.11981, 0.00343001, 0.0437239, 1.40292, 0.00964022, 0.0135245, -0.689369, 0.72422
0.139681, 0.00258359, 0.043639, 1.40296, 0.00910957, 0.0143747, -0.686014, 0.727389
0.15967, 0.00213219, 0.0438175, 1.40241, 0.0107031, 0.0145429, -0.681912, 0.731212
0.179878, 0.00140387, 0.0432441, 1.40234, 0.010384, 0.0138151, -0.679077, 0.733864
0.199719, 0.000667544, 0.0429246, 1.40234, 0.0108706, 0.013691, -0.676348, 0.736374
0.219779, -0.000220231, 0.0430828, 1.4019, 0.0109431, 0.0158073, -0.671971, 0.740328
0.239867, -0.000832529, 0.0427893, 1.40153, 0.0107594, 0.0159979, -0.667665, 0.744212
0.259758, -0.00158341, 0.0421331, 1.40153, 0.0103032, 0.0150649, -0.664843, 0.74676
0.279867, -0.00247617, 0.0418354, 1.40145, 0.00944675, 0.015743, -0.661524, 0.7497
0.29984, -0.00309339, 0.0417454, 1.40094, 0.00960365, 0.0158232, -0.656789, 0.753847
0.319835, -0.00353665, 0.0411255, 1.4007, 0.0101334, 0.0137642, -0.653356, 0.756858
0.339832, -0.00419453, 0.040695, 1.40058, 0.0104772, 0.0136536, -0.650444, 0.759359
0.359678, -0.00521797, 0.0404248, 1.40024, 0.0103618, 0.0147268, -0.646524, 0.762681
0.379802, -0.00536464, 0.0401295, 1.39978, 0.0116345, 0.0133641, -0.641627, 0.766812
0.399798, -0.00614097, 0.0396607, 1.39949, 0.0117225, 0.0138749, -0.637875, 0.769926
0.419888, -0.00794847, 0.0386843, 1.39955, 0.00970305, 0.0148237, -0.636224, 0.771301
0.439802, -0.00750365, 0.0388195, 1.39888, 0.0120673, 0.0131354, -0.629832, 0.776527
0.459731, -0.00821409, 0.0383059, 1.39841, 0.0111874, 0.0129402, -0.62533, 0.780173
0.479816, -0.00921512, 0.0372496, 1.39851, 0.0100889, 0.0118471, -0.622946, 0.78211
0.499875, -0.00984523, 0.0369386, 1.39823, 0.0109785, 0.0119015, -0.618894, 0.785308
0.519856, -0.0101761, 0.0367134, 1.39761, 0.0123904, 0.0112262, -0.613594, 0.789445
0.53989, -0.0113148, 0.0358526, 1.39761, 0.0114332, 0.0114424, -0.610046, 0.792201
0.559747, -0.0126459, 0.0348574, 1.39778, 0.0108833, 0.0116872, -0.607833, 0.793904
0.579816, -0.0130245, 0.0345928, 1.39731, 0.0130884, 0.0105177, -0.603007, 0.797559
0.599837, -0.013414, 0.0342095, 1.39692, 0.0129349, 0.00997473, -0.597242, 0.801894
0.619948, -0.0145722, 0.0332322, 1.39687, 0.0115777, 0.00988279, -0.594175, 0.804192
0.639995, -0.0157676, 0.0320272, 1.39691, 0.0114405, 0.00877773, -0.591751, 0.805992
0.659908, -0.016059, 0.0320908, 1.39637, 0.0130573, 0.0091144, -0.585496, 0.810519
0.679992, -0.0171927, 0.031301, 1.39621, 0.012137, 0.00956301, -0.580843, 0.813869
0.699957, -0.0186985, 0.0301079, 1.39636, 0.0124228, 0.00928226, -0.578867, 0.815274
0.720047, -0.0196776, 0.0293814, 1.39639, 0.0130369, 0.00883762, -0.574562, 0.81831
0.740004, -0.0200884, 0.029158, 1.39605, 0.0144896, 0.0079439, -0.567845, 0.822969
0.75994, -0.0219531, 0.0278172, 1.39609, 0.0123618, 0.00870199, -0.564893, 0.825026
0.780234, -0.0224835, 0.0270705, 1.39609, 0.0145314, 0.00735686, -0.559288, 0.828813
0.800366, -0.0243184, 0.0261989, 1.3959, 0.0146929, 0.00767685, -0.55713, 0.83026
0.82017, -0.0258884, 0.0252362, 1.39575, 0.0124331, 0.00926378, -0.551596, 0.833968
0.840343, -0.0270327, 0.0244979, 1.39575, 0.0147262, 0.00874197, -0.548427, 0.836023
0.859941, -0.0288522, 0.0230651, 1.3961, 0.013894, 0.00881414, -0.545113, 0.838201
0.880215, -0.0301401, 0.0221996, 1.3961, 0.0133922, 0.00861915, -0.539092, 0.842096
0.900319, -0.031698, 0.0214211, 1.39599, 0.0149567, 0.0086558, -0.535074, 0.844628
0.92018, -0.0334231, 0.0197128, 1.39649, 0.0147184, 0.0074976, -0.532535, 0.846247
0.940127, -0.0353129, 0.0186163, 1.39646, 0.0141408, 0.00820963, -0.528061, 0.849049
0.959902, -0.0365001, 0.0178624, 1.39635, 0.0144189, 0.00765561, -0.521911, 0.852844
0.980136, -0.038316, 0.0163857, 1.39647, 0.0137594, 0.00770368, -0.51804, 0.855211
1.00032, -0.0401003, 0.0151828, 1.39653, 0.0133527, 0.0086327, -0.511829, 0.85894
1.02018, -0.0423787, 0.0137094, 1.39654, 0.0127606, 0.00797512, -0.509819, 0.86015
1.04006, -0.0441168, 0.0125598, 1.39638, 0.0117902, 0.00800348, -0.504463, 0.863315
1.05989, -0.0460644, 0.0105359, 1.3969, 0.0118624, 0.00609624, -0.502006, 0.864761
1.08032, -0.0475833, 0.0100079, 1.39682, 0.0133654, 0.00738345, -0.494527, 0.869028
1.10033, -0.0501052, 0.00812528, 1.39695, 0.0119904, 0.00679027, -0.492171, 0.870389
1.11998, -0.0521705, 0.00681828, 1.39697, 0.011581, 0.00765264, -0.487475, 0.873026
1.13997, -0.053954, 0.00550957, 1.39736, 0.0118192, 0.00819817, -0.480685, 0.876775
1.15982, -0.0559703, 0.00427084, 1.39743, 0.0126227, 0.00784652, -0.47578, 0.879439
1.17996, -0.0592493, 0.0027437, 1.39707, 0.0114538, 0.00933226, -0.475831, 0.879413
1.19992, -0.0605834, 0.000764717, 1.39767, 0.0104649, 0.00690696, -0.469494, 0.882847
1.21995, -0.0625729, -0.000471542, 1.39787, 0.0115738, 0.00780863, -0.463014, 0.886241
1.2399, -0.0649027, -0.0016624, 1.39783, 0.0124533, 0.00839024, -0.458828, 0.888398
1.25975, -0.0673057, -0.00340858, 1.39789, 0.0116088, 0.00841008, -0.456638, 0.889537
1.28006, -0.0695962, -0.00497679, 1.39818, 0.011548, 0.00978966, -0.450885, 0.892454
1.30013, -0.0717293, -0.00651772, 1.39854, 0.0120724, 0.00974091, -0.447148, 0.894326
1.31994, -0.0745605, -0.00827533, 1.39833, 0.0111478, 0.00991662, -0.445848, 0.894985
1.33998, -0.0769256, -0.00980143, 1.39823, 0.0102332, 0.0104792, -0.444356, 0.895731
1.35988, -0.07861, -0.0113494, 1.39863, 0.0111758, 0.00964654, -0.437506, 0.899094
1.38012, -0.0810985, -0.0131652, 1.39892, 0.0104339, 0.00989573, -0.435069, 0.900282
1.40023, -0.0836496, -0.0149088, 1.39884, 0.0102829, 0.00967144, -0.434646, 0.900491
1.42011, -0.0854327, -0.0160617, 1.39896, 0.0113418, 0.0103803, -0.427248, 0.904004
1.44019, -0.0878847, -0.0179237, 1.39941, 0.0109327, 0.0115266, -0.424748, 0.905172
1.45995, -0.089969, -0.0192601, 1.39933, 0.0124681, 0.0104829, -0.422157, 0.906377
1.48042, -0.0931335, -0.0215089, 1.39906, 0.0107587, 0.0116836, -0.425915, 0.904624
1.50037, -0.094633, -0.0230199, 1.39941, 0.0116683, 0.0106, -0.418167, 0.908233
1.52012, -0.0969104, -0.0251036, 1.3998, 0.0108603, 0.0105103, -0.416519, 0.909001
1.53982, -0.099407, -0.0263174, 1.39939, 0.011913, 0.0114597, -0.414707, 0.909805
1.55978, -0.101873, -0.0283961, 1.39943, 0.010973, 0.0118914, -0.413032, 0.910573
1.57999, -0.10408, -0.0304908, 1.39983, 0.0106994, 0.0124945, -0.411397, 0.911308
1.59997, -0.106274, -0.0320263, 1.39985, 0.0119702, 0.0124051, -0.407885, 0.912871
1.61999, -0.108761, -0.0342593, 1.39975, 0.0105118, 0.0114722, -0.404476, 0.914416
1.63999, -0.111143, -0.0366009, 1.39977, 0.00952078, 0.011581, -0.400817, 0.916036
1.65996, -0.113161, -0.038669, 1.40003, 0.010521, 0.0114402, -0.396497, 0.917904
1.68, -0.115867, -0.0406836, 1.39993, 0.00923601, 0.012802, -0.392391, 0.919663
1.70027, -0.11837, -0.0426799, 1.39971, 0.00913634, 0.0132503, -0.38806, 0.921493
1.72002, -0.120536, -0.0450692, 1.40001, 0.00910343, 0.013353, -0.383781, 0.923283
1.74011, -0.122673, -0.0474674, 1.40047, 0.00813284, 0.0132925, -0.378876, 0.925316
1.75986, -0.125285, -0.0494884, 1.40022, 0.0082756, 0.0136104, -0.374555, 0.927068
1.78003, -0.127477, -0.0515208, 1.40006, 0.00926074, 0.0136569, -0.370259, 0.928782
1.80021, -0.129464, -0.0542838, 1.40048, 0.00807082, 0.0136404, -0.365177, 0.930803
1.82009, -0.131751, -0.0566939, 1.40064, 0.00721085, 0.0139121, -0.360424, 0.932657
1.84017, -0.134456, -0.058616, 1.40016, 0.00699711, 0.0158326, -0.355598, 0.934479
1.85987, -0.136277, -0.0611082, 1.40028, 0.00735901, 0.0152563, -0.350364, 0.936461
1.88016, -0.138344, -0.063845, 1.40069, 0.00579183, 0.0158921, -0.345602, 0.938229
1.90007, -0.14069, -0.0659046, 1.40047, 0.00596552, 0.0166392, -0.341033, 0.939885
1.92014, -0.141104, -0.0672967, 1.40047, 0.00674825, 0.0153941, -0.331104, 0.943445
1.94002, -0.144476, -0.0711217, 1.40067, 0.00542738, 0.0164519, -0.331527, 0.943287
1.95989, -0.146279, -0.0731381, 1.40067, 0.0071676, 0.0172292, -0.326381, 0.945054
1.98005, -0.148486, -0.0755291, 1.40056, 0.0058821, 0.0182262, -0.321109, 0.946849
2.00006, -0.149634, -0.0780392, 1.40065, 0.00480945, 0.0177858, -0.313228, 0.949499
2.0202, -0.151766, -0.0807283, 1.40075, 0.00614793, 0.0180793, -0.311159, 0.950166
2.0402, -0.153354, -0.0832295, 1.40093, 0.00512978, 0.0175255, -0.306111, 0.951821
2.06007, -0.153676, -0.0848579, 1.40095, 0.00496404, 0.0158721, -0.296022, 0.955036
2.08024, -0.156036, -0.0878558, 1.40084, 0.00534298, 0.0173396, -0.293808, 0.955692
2.10014, -0.15782, -0.0907506, 1.40118, 0.00635539, 0.0173033, -0.291653, 0.956347
2.12007, -0.159454, -0.0932994, 1.40141, 0.00600588, 0.0172745, -0.286882, 0.957791
2.1401, -0.15975, -0.0948532, 1.40148, 0.00608004, 0.0174876, -0.27699, 0.960694
2.15997, -0.162155, -0.0985587, 1.40181, 0.00643156, 0.0175437, -0.276497, 0.960833
2.18023, -0.1629, -0.101184, 1.40244, 0.00674764, 0.0156632, -0.271375, 0.962323
2.20016, -0.164685, -0.103621, 1.4022, 0.00618224, 0.0166598, -0.266893, 0.963562
2.22007, -0.165009, -0.105917, 1.40249, 0.00616056, 0.0155928, -0.258428, 0.965885
2.24002, -0.166512, -0.109431, 1.40317, 0.00574246, 0.0152278, -0.256767, 0.966336
2.25998, -0.167702, -0.11168, 1.40341, 0.0074652, 0.0156649, -0.251766, 0.967633
2.28011, -0.167761, -0.113415, 1.40374, 0.00706598, 0.0153684, -0.241028, 0.970371
2.30011, -0.169105, -0.116978, 1.40434, 0.00659386, 0.0149814, -0.238025, 0.971121
2.32007, -0.170673, -0.120009, 1.4048, 0.00799122, 0.0158639, -0.235971, 0.971598
2.34007, -0.171831, -0.122736, 1.40513, 0.00715732, 0.0162804, -0.230699, 0.972863
2.35995, -0.171453, -0.124762, 1.40562, 0.0061642, 0.0151772, -0.219534, 0.975467
2.38038, -0.172851, -0.128227, 1.40593, 0.00647331, 0.0163353, -0.217071, 0.975998
2.40008, -0.174154, -0.131334, 1.40644, 0.00750329, 0.016906, -0.214679, 0.97651
2.42008, -0.174021, -0.133453, 1.40684, 0.00701414, 0.0164475, -0.204393, 0.978726
2.4403, -0.175353, -0.136511, 1.40687, 0.00804356, 0.018093, -0.201013, 0.979388
2.46004, -0.176545, -0.140357, 1.4074, 0.00796888, 0.0187407, -0.199674, 0.979651
2.48009, -0.17715, -0.143397, 1.40784, 0.00767218, 0.0189576, -0.194387, 0.980712
2.50023, -0.176864, -0.145362, 1.40795, 0.00649621, 0.0195451, -0.18291, 0.982914
2.52019, -0.177641, -0.149058, 1.40811, 0.00682416, 0.0192603, -0.179889, 0.983475
2.54018, -0.178422, -0.152942, 1.40867, 0.00594801, 0.0187693, -0.178389, 0.983763
2.55995, -0.179035, -0.15608, 1.40878, 0.00595736, 0.0189442, -0.173559, 0.984623
2.58019, -0.178672, -0.158656, 1.4089, 0.00593124, 0.0185141, -0.164749, 0.986144
2.60024, -0.178775, -0.161962, 1.40925, 0.00597778, 0.0185966, -0.159412, 0.987019
2.62021, -0.179483, -0.166013, 1.40964, 0.00564095, 0.019052, -0.157992, 0.987241
2.64087, -0.178761, -0.168526, 1.40993, 0.00360609, 0.018762, -0.147168, 0.988927
2.66, -0.17894, -0.171714, 1.41005, 0.00566328, 0.018091, -0.142879, 0.989559
2.68016, -0.178735, -0.175737, 1.41053, 0.00331067, 0.0174064, -0.137998, 0.990274
2.70004, -0.178772, -0.179142, 1.41076, 0.00284245, 0.0169692, -0.133555, 0.990892
2.72022, -0.178217, -0.181883, 1.41083, 0.00286661, 0.0163912, -0.126111, 0.991877
2.73992, -0.178189, -0.185961, 1.41117, 0.00193046, 0.0159476, -0.122382, 0.992353
2.75975, -0.178177, -0.189965, 1.41181, 0.00270101, 0.0154039, -0.121036, 0.992525
2.77994, -0.177699, -0.192594, 1.41203, 0.00275526, 0.0162991, -0.112318, 0.993535
2.79992, -0.177171, -0.196077, 1.41242, 0.00224035, 0.0155626, -0.106457, 0.994193
2.81993, -0.17664, -0.199751, 1.41295, 0.00240349, 0.015024, -0.101336, 0.994736
2.84029, -0.176231, -0.203353, 1.4134, 0.0014077, 0.0153443, -0.0962265, 0.99524
2.86001, -0.175806, -0.206603, 1.41344, 0.00140541, 0.0149394, -0.0904047, 0.995792
2.88017, -0.175092, -0.209992, 1.41375, 0.00136564, 0.0140365, -0.0844403, 0.996329
2.90029, -0.174542, -0.214007, 1.41417, -0.000192472, 0.0140646, -0.0797554, 0.996715
2.92014, -0.173906, -0.217328, 1.41452, 0.000598466, 0.0137212, -0.0749071, 0.997096
2.93997, -0.173439, -0.220403, 1.41472, 0.000477744, 0.0138984, -0.0688324, 0.997531
2.9599, -0.172709, -0.22411, 1.41499, -0.000257139, 0.0141309, -0.0637547, 0.997866
2.97994, -0.172051, -0.227908, 1.41558, -0.000954584, 0.0147533, -0.0593327, 0.998129
