time, px, py, pz, qx, qy, qz, qw
1.12061, 0.568522, -0.630979, 1.6374, -0.000209026, -0.0364553, 0.706641, 0.706632
1.14073, 0.568536, -0.631252, 1.63781, -0.000327886, -0.0368392, 0.706811, 0.706442
1.16064, 0.568391, -0.631691, 1.63802, 0.000145567, -0.0358631, 0.706842, 0.706462
1.17999, 0.568398, -0.632024, 1.63839, 0.000474486, -0.0355801, 0.706925, 0.706393
1.20021, 0.568631, -0.632434, 1.6389, -0.000928088, -0.0365918, 0.706704, 0.706562
1.21996, 0.568662, -0.632757, 1.6392, -0.00145963, -0.0371249, 0.706521, 0.706716
1.24016, 0.568532, -0.633164, 1.63931, -0.00143048, -0.036531, 0.706855, 0.706413
1.26063, 0.56854, -0.633412, 1.63989, -0.00169438, -0.037479, 0.707122, 0.706095
1.28039, 0.568503, -0.633842, 1.6403, -0.000896686, -0.0365659, 0.707292, 0.705975
1.30015, 0.568411, -0.634092, 1.64069, -0.000625076, -0.0364532, 0.707418, 0.705855
1.32056, 0.568385, -0.634484, 1.64112, -0.00134416, -0.0364225, 0.707405, 0.705868
1.34074, 0.568399, -0.634755, 1.64167, -0.000973778, -0.036609, 0.707352, 0.705912
1.36103, 0.568453, -0.635114, 1.64205, -0.00179883, -0.0369597, 0.707435, 0.705809
1.38076, 0.568245, -0.635329, 1.64244, -0.00272782, -0.0373882, 0.707517, 0.705701
1.40021, 0.568073, -0.635746, 1.64268, -0.00241586, -0.036142, 0.707339, 0.705945
1.4205, 0.568035, -0.635991, 1.64319, -0.00270149, -0.0361892, 0.707414, 0.705867
1.44005, 0.567965, -0.636301, 1.64359, -0.00277551, -0.035817, 0.707448, 0.705852
1.46016, 0.567781, -0.636435, 1.64401, -0.00205801, -0.0362362, 0.70746, 0.705821
1.48067, 0.567701, -0.636592, 1.64454, -0.00259501, -0.0374207, 0.707492, 0.705725
1.49992, 0.56746, -0.636847, 1.64496, -0.00301318, -0.036778, 0.707559, 0.70569
1.52059, 0.5672, -0.637045, 1.64521, -0.00309733, -0.0366364, 0.707448, 0.705808
1.54066, 0.56695, -0.637298, 1.64546, -0.00352912, -0.03624, 0.707671, 0.705603
1.56065, 0.566632, -0.637294, 1.646, -0.00229281, -0.0360953, 0.707974, 0.705312
1.58063, 0.566414, -0.637447, 1.64635, -0.00159611, -0.0360553, 0.707992, 0.705297
1.60001, 0.566142, -0.637486, 1.64675, -0.00165847, -0.0368022, 0.708186, 0.705064
1.62014, 0.565785, -0.637727, 1.64686, -0.00163778, -0.0356176, 0.708133, 0.705178
1.64017, 0.565505, -0.637737, 1.64715, -0.00142012, -0.0358185, 0.707966, 0.705336
1.66068, 0.565233, -0.637918, 1.64728, -0.00184472, -0.0354097, 0.708058, 0.705264
1.68068, 0.56484, -0.637873, 1.6475, -0.000791549, -0.035194, 0.708438, 0.704895
1.70027, 0.564627, -0.637974, 1.64773, -0.000514179, -0.0354926, 0.708558, 0.70476
1.72066, 0.564325, -0.637975, 1.64805, -7.62648e-06, -0.0352331, 0.708599, 0.704731
1.74036, 0.563934, -0.638113, 1.64809, -0.000267583, -0.0344738, 0.708452, 0.704916
