time, px, py, pz, qx, qy, qz, qw
0, -0.0134497, 0.0340164, 1.51741, -0.00724692, -0.00170687, 0.708988, 0.705181
0.0203581, -0.0134195, 0.0340572, 1.51773, -0.00596547, -0.00215463, 0.708713, 0.705468
0.0404031, -0.0132995, 0.0336943, 1.51743, -0.00732877, -0.00232327, 0.708655, 0.705513
0.0599692, -0.0132871, 0.0336057, 1.51779, -0.00582256, -0.00255638, 0.70879, 0.705391
0.0802152, -0.0130467, 0.0330331, 1.51796, -0.00700239, -0.00216895, 0.708817, 0.705355
0.100347, -0.0131826, 0.0329432, 1.51798, -0.00624219, -0.00231568, 0.708684, 0.705495
0.119839, -0.0131752, 0.0326212, 1.51752, -0.00661855, -0.00182297, 0.708696, 0.70548
0.14025, -0.0130277, 0.032184, 1.51755, -0.00619732, -0.00132527, 0.708837, 0.705344
0.159872, -0.0129636, 0.0319102, 1.51756, -0.00539174, -0.00100837, 0.708718, 0.70547
0.179806, -0.0130153, 0.0314023, 1.5171, -0.006428, -0.000528535, 0.708636, 0.705545
0.200378, -0.0132005, 0.0313554, 1.51713, -0.00575984, -0.0012165, 0.708933, 0.705252
0.22028, -0.0127727, 0.0306755, 1.51696, -0.0079619, -0.0015864, 0.709109, 0.705052
0.240279, -0.0126982, 0.0304762, 1.51688, -0.00739668, -0.00166856, 0.708705, 0.705464
0.259968, -0.0127113, 0.0299473, 1.51603, -0.00828495, -0.000426501, 0.708484, 0.705678
0.280284, -0.0125798, 0.0296574, 1.51584, -0.00798042, -0.00090423, 0.708639, 0.705525
0.299825, -0.0123556, 0.029256, 1.5159, -0.00776799, -0.00110294, 0.708474, 0.705693
0.320341, -0.012485, 0.0289551, 1.51575, -0.00775287, -0.00155624, 0.708228, 0.70594
0.340337, -0.0122872, 0.0284457, 1.51493, -0.0133515, -0.00292154, 0.708229, 0.705851
0.359821, -0.0122776, 0.0282779, 1.51531, -0.0157924, -0.00381005, 0.7084, 0.705624
0.380311, -0.0120208, 0.0275239, 1.5159, -0.0216458, -0.00381439, 0.708046, 0.705824
0.40041, -0.0119883, 0.0272323, 1.51687, -0.0278869, -0.00553903, 0.708106, 0.705533
0.419632, -0.0127423, 0.0272034, 1.51868, -0.0298766, -0.00465915, 0.708134, 0.70543
0.44037, -0.0129775, 0.0271556, 1.52158, -0.0331184, -0.00539597, 0.7079, 0.705515
0.459974, -0.013593, 0.0271159, 1.52448, -0.0362234, -0.00494303, 0.707688, 0.705578
0.480295, -0.0145523, 0.0270189, 1.52768, -0.0406704, -0.0047966, 0.70775, 0.705275
0.50034, -0.0159242, 0.0276497, 1.53199, -0.0410416, -0.00497486, 0.708052, 0.704949
0.520432, -0.0172867, 0.0283719, 1.53665, -0.0420109, -0.00573023, 0.708172, 0.704766
0.540458, -0.0188138, 0.0286829, 1.54084, -0.0457216, -0.00494911, 0.707893, 0.704821
0.559858, -0.0211108, 0.030058, 1.54547, -0.0439641, -0.00421625, 0.708082, 0.704748
0.580334, -0.0230233, 0.0310798, 1.55039, -0.0444684, -0.00402941, 0.708128, 0.704671
0.599944, -0.0254658, 0.0321429, 1.55542, -0.0441052, -0.00238593, 0.708193, 0.704636
0.620488, -0.0281149, 0.0339923, 1.56086, -0.0428037, -0.00382375, 0.708241, 0.704662
0.640443, -0.0310065, 0.0354517, 1.56573, -0.0426177, -0.00299992, 0.70858, 0.704336
0.660153, -0.0337828, 0.0374269, 1.57128, -0.0420572, -0.00448295, 0.70875, 0.704191
0.680417, -0.0370163, 0.0393317, 1.57619, -0.0404323, -0.00300292, 0.708592, 0.704452
0.700478, -0.0402006, 0.0414458, 1.58073, -0.0407197, -0.0028613, 0.708428, 0.704601
0.720558, -0.043673, 0.0439541, 1.58559, -0.0388359, -0.00279239, 0.708575, 0.70456
0.74071, -0.046953, 0.046166, 1.59058, -0.0390379, -0.00351805, 0.708412, 0.70471
0.760174, -0.0507572, 0.0488009, 1.59519, -0.0373995, -0.0031718, 0.708167, 0.705046
0.780561, -0.0548186, 0.0514952, 1.59934, -0.0372251, -0.00298273, 0.708522, 0.7047
0.800556, -0.0586954, 0.0544988, 1.60388, -0.0358045, -0.00396355, 0.708584, 0.704706
0.819802, -0.062699, 0.057315, 1.60799, -0.0344222, -0.00273279, 0.708348, 0.705018
0.840582, -0.0668071, 0.0602944, 1.61205, -0.0348987, -0.00350797, 0.708005, 0.705336
0.860078, -0.0713805, 0.0636595, 1.61598, -0.0324463, -0.00330807, 0.708153, 0.705305
0.880498, -0.0755811, 0.066818, 1.62004, -0.0325292, -0.00455024, 0.708126, 0.705322
0.900467, -0.0802703, 0.0703338, 1.62394, -0.03062, -0.00435123, 0.708137, 0.705398
0.920454, -0.0851602, 0.0736925, 1.62738, -0.0302077, -0.00415035, 0.708233, 0.70532
0.940462, -0.0900532, 0.0774026, 1.63105, -0.0281139, -0.00481253, 0.708579, 0.705055
0.960096, -0.0950093, 0.0809546, 1.63442, -0.0268074, -0.00388704, 0.708772, 0.704917
0.979936, -0.0997034, 0.0846161, 1.63759, -0.0274642, -0.00465216, 0.708311, 0.70535
1.00037, -0.105141, 0.0882927, 1.63995, -0.0252156, -0.00189094, 0.708456, 0.705302
