time, px, py, pz, qx, qy, qz, qw
1.07992, -0.107133, 0.115683, 1.50897, -0.0236167, -0.00244494, 0.708176, 0.705637
1.09996, -0.11194, 0.120131, 1.50965, -0.0241546, -0.00167424, 0.708358, 0.705437
1.11999, -0.116709, 0.12468, 1.51064, -0.0236442, -0.000563182, 0.708484, 0.70533
1.13992, -0.121479, 0.129499, 1.51165, -0.024336, -0.00202991, 0.708067, 0.705723
1.16065, -0.126611, 0.134115, 1.51223, -0.0242932, -0.00118629, 0.708035, 0.705759
1.18008, -0.131493, 0.139062, 1.51332, -0.0241186, -0.00235866, 0.708087, 0.705709
1.20063, -0.136418, 0.14371, 1.51399, -0.0245572, -0.0017538, 0.708267, 0.705516
1.22055, -0.141761, 0.148974, 1.51502, -0.0232097, -0.00253259, 0.708075, 0.705751
1.24057, -0.146859, 0.153752, 1.51552, -0.0244065, -0.00216514, 0.708166, 0.70562
1.26061, -0.151861, 0.158788, 1.5167, -0.0239782, -0.00320379, 0.708054, 0.705744
1.28071, -0.156986, 0.163926, 1.51796, -0.0235864, -0.00420553, 0.707813, 0.705994
1.3007, -0.162673, 0.169082, 1.51873, -0.0227804, -0.00363228, 0.707957, 0.705878
1.32023, -0.168135, 0.17442, 1.51981, -0.0217769, -0.00442791, 0.708173, 0.705689
1.34059, -0.173542, 0.17928, 1.52063, -0.0210426, -0.00276146, 0.708423, 0.705469
1.3608, -0.17897, 0.18482, 1.52195, -0.0197576, -0.00417055, 0.708274, 0.705649
1.38085, -0.184506, 0.189963, 1.52253, -0.019912, -0.00358867, 0.708328, 0.705593
1.40061, -0.190149, 0.195361, 1.52356, -0.0185488, -0.00369364, 0.708563, 0.705395
1.42066, -0.195596, 0.200356, 1.52451, -0.0195715, -0.00365408, 0.708808, 0.705121
1.44005, -0.201182, 0.205817, 1.52531, -0.0188168, -0.0035129, 0.708541, 0.70541
1.46066, -0.206764, 0.211095, 1.52558, -0.018759, -0.00257471, 0.708544, 0.705413
1.48086, -0.212381, 0.216354, 1.52625, -0.0182441, -0.00183074, 0.70866, 0.705312
1.50066, -0.217881, 0.221771, 1.52708, -0.0178088, -0.00154144, 0.708642, 0.705342
1.52063, -0.223561, 0.227008, 1.52745, -0.0188032, -0.000884779, 0.708546, 0.705413
1.54012, -0.229253, 0.232741, 1.52822, -0.018576, -0.00216469, 0.708763, 0.705198
1.56068, -0.234462, 0.237986, 1.52904, -0.0198288, -0.00257056, 0.708751, 0.705175
1.58025, -0.240032, 0.243638, 1.52994, -0.0187052, -0.00249673, 0.70843, 0.705528
1.60084, -0.245661, 0.249053, 1.53019, -0.0198382, -0.00233364, 0.708375, 0.705553
1.6206, -0.251241, 0.254761, 1.53118, -0.0190345, -0.00333313, 0.708736, 0.705209
1.64021, -0.256721, 0.260306, 1.53243, -0.0180179, -0.00310883, 0.708785, 0.705187
1.66052, -0.262185, 0.265862, 1.53334, -0.0188118, -0.00380901, 0.708409, 0.705542
1.68085, -0.267931, 0.271391, 1.53408, -0.0185151, -0.00359834, 0.708263, 0.705696
1.70081, -0.273255, 0.277127, 1.53575, -0.0182374, -0.00560344, 0.708463, 0.70549
1.72058, -0.27883, 0.282626, 1.53695, -0.0184217, -0.00538988, 0.708612, 0.705337
1.74057, -0.284776, 0.288535, 1.53797, -0.0170559, -0.00598565, 0.708461, 0.705519
1.76063, -0.290547, 0.293854, 1.53857, -0.0173893, -0.00442073, 0.708712, 0.70527
1.78064, -0.296078, 0.299591, 1.54009, -0.0161681, -0.00508185, 0.708898, 0.705108
1.80077, -0.301657, 0.30512, 1.541, -0.0165139, -0.00488182, 0.708516, 0.705485
1.82069, -0.307768, 0.311037, 1.54193, -0.0155756, -0.00521598, 0.708723, 0.705295
1.84059, -0.313497, 0.316489, 1.54294, -0.0167304, -0.00553355, 0.709154, 0.704833
1.86067, -0.319043, 0.322086, 1.54395, -0.0160125, -0.00493757, 0.708977, 0.705033
1.88095, -0.32466, 0.327586, 1.5444, -0.0171005, -0.00441586, 0.70844, 0.70555
1.90085, -0.330631, 0.33342, 1.54511, -0.0164053, -0.00456002, 0.708471, 0.705534
1.92008, -0.336215, 0.338706, 1.54596, -0.0167655, -0.00362252, 0.708686, 0.705315
1.94058, -0.341865, 0.344453, 1.54705, -0.0169659, -0.00426023, 0.708475, 0.705519
1.96055, -0.34768, 0.34999, 1.54756, -0.0183364, -0.00425003, 0.708109, 0.705852
1.98001, -0.353418, 0.355639, 1.54843, -0.018262, -0.0048136, 0.708137, 0.705823
2.00075, -0.358986, 0.361381, 1.54964, -0.0175734, -0.00545412, 0.708117, 0.705855
2.02071, -0.364754, 0.36679, 1.55022, -0.0189228, -0.00500023, 0.707859, 0.706083
2.04066, -0.370975, 0.372642, 1.55092, -0.0175271, -0.00491417, 0.707831, 0.706148
2.06063, -0.37662, 0.377962, 1.55167, -0.0184569, -0.00420859, 0.708043, 0.705916
2.08081, -0.382264, 0.383958, 1.55336, -0.0174105, -0.00651451, 0.707815, 0.706153
2.10071, -0.388339, 0.389164, 1.5536, -0.0182782, -0.00421071, 0.707427, 0.706538
2.12013, -0.394526, 0.394977, 1.55469, -0.0178057, -0.00511298, 0.707645, 0.706325
2.14054, -0.400349, 0.400374, 1.55575, -0.0180852, -0.00450076, 0.708056, 0.705911
2.15997, -0.406495, 0.40628, 1.5569, -0.0163127, -0.0045329, 0.707963, 0.706047
2.18068, -0.412533, 0.411636, 1.55716, -0.0179957, -0.00333712, 0.707604, 0.706372
2.2, -0.418763, 0.417298, 1.55801, -0.0173454, -0.00289497, 0.707944, 0.70605
2.22071, -0.424578, 0.422825, 1.5589, -0.0175266, -0.0027975, 0.707867, 0.706123
2.24059, -0.430855, 0.428523, 1.55956, -0.0174125, -0.00197041, 0.707865, 0.706131
2.26055, -0.437056, 0.434305, 1.56016, -0.0179034, -0.002608, 0.70777, 0.706211
