time, px, py, pz, qx, qy, qz, qw
0, -0.0337786, 0.00239916, 1.39188, 0.00665053, 0.0158126, -0.708921, 0.705079
0.0199883, -0.0338106, 0.00351578, 1.39151, 0.00789526, 0.0170275, -0.707951, 0.706012
0.0399873, -0.0335937, 0.00410461, 1.39123, 0.00882258, 0.0154558, -0.707349, 0.70664
0.0598395, -0.0340659, 0.00452027, 1.39147, 0.00742237, 0.0161034, -0.708486, 0.705502
0.0797224, -0.0341277, 0.00532784, 1.39144, 0.00829163, 0.0163706, -0.708666, 0.705306
0.0998201, -0.0341422, 0.00613291, 1.39122, 0.00877788, 0.0164868, -0.707781, 0.706185
0.119813, -0.0344226, 0.00669048, 1.39114, 0.00818921, 0.0163074, -0.708252, 0.705724
0.139799, -0.0348756, 0.00719476, 1.39135, 0.00716864, 0.0171317, -0.709127, 0.704836
0.15983, -0.0350202, 0.00802524, 1.39132, 0.00761696, 0.0180018, -0.708679, 0.70526
0.179816, -0.0348217, 0.00883358, 1.39092, 0.00929317, 0.0166596, -0.707996, 0.705958
0.199704, -0.0351474, 0.00922689, 1.39111, 0.00826582, 0.0164015, -0.708662, 0.705309
0.219816, -0.0355442, 0.00969844, 1.3913, 0.00740652, 0.0168734, -0.709371, 0.704595
0.239817, -0.0354059, 0.0106294, 1.39099, 0.00943182, 0.0163448, -0.70879, 0.705167
0.259803, -0.0356246, 0.0113581, 1.39087, 0.008804, 0.0171906, -0.708273, 0.705674
0.279835, -0.0361132, 0.0116596, 1.3911, 0.00712619, 0.0173706, -0.708925, 0.705034
0.299833, -0.0363081, 0.0120814, 1.3913, 0.00696653, 0.0166132, -0.709255, 0.704722
0.31981, -0.036325, 0.0129684, 1.39116, 0.00698337, 0.0171729, -0.70818, 0.705788
0.339763, -0.0365719, 0.0135966, 1.39114, 0.00688536, 0.0170181, -0.70804, 0.705934
0.359804, -0.0366511, 0.0137637, 1.39151, 0.00695395, 0.0159176, -0.707005, 0.706995
0.37981, -0.0370328, 0.0144203, 1.39172, 0.00711578, 0.0165517, -0.704652, 0.709324
0.399808, -0.0371145, 0.0151558, 1.39162, 0.0075067, 0.0171831, -0.70071, 0.7132
0.419824, -0.0375222, 0.0155024, 1.3919, 0.00688492, 0.0176833, -0.698081, 0.715767
0.439817, -0.0379262, 0.0157572, 1.39228, 0.0066329, 0.0174819, -0.695892, 0.717903
0.459809, -0.0380223, 0.0164637, 1.39235, 0.00694414, 0.0177377, -0.692141, 0.721511
0.479814, -0.0379709, 0.0171728, 1.39222, 0.00780837, 0.0172117, -0.688437, 0.72505
0.499844, -0.0382416, 0.0161209, 1.39311, 0.00455776, 0.0133128, -0.685593, 0.727849
0.519864, -0.0389863, 0.0163628, 1.39353, 0.00315996, 0.0142177, -0.682835, 0.730427
0.539828, -0.0390715, 0.0184054, 1.39266, 0.00752058, 0.0173398, -0.678893, 0.733994
0.55974, -0.0390918, 0.0186711, 1.39273, 0.00790452, 0.0163076, -0.674956, 0.737635
0.579717, -0.0396622, 0.0189446, 1.3931, 0.00761501, 0.017262, -0.672516, 0.739842
